Iteration,Loss
0,0.014925729759921038
1,0.014775111234250909
2,0.014775111234250909
3,0.014718864896259216
4,0.01455702493000563
5,0.014532926699761192
6,0.014532926699761192
7,0.014532926699761192
8,0.014532926699761192
9,0.014532926699761192
10,0.014532191919433553
11,0.014532191919433553
12,0.014525455020925008
13,0.014522044237847784
14,0.014517130108719323
15,0.014517130108719323
16,0.014511580928428991
17,0.014506112427097796
18,0.014506112427097796
19,0.014501814816794297
20,0.014501222869293097
21,0.014501222869293097
22,0.014500517414652334
23,0.014499499212807177
24,0.014499499212807177
25,0.014499499212807177
26,0.014499499212807177
27,0.01449939342883377
28,0.014499309938574447
29,0.01449927701730508
30,0.01449927701730508
31,0.01449926695476263
32,0.014499266562928853
33,0.014499266562928853
34,0.014499258525138836
35,0.014499255669022795
36,0.014499254933673645
37,0.014499254933673645
38,0.014499254825388386
39,0.014499254773101669
40,0.01449925472463882
41,0.01449925472463882
42,0.014499254690890397
43,0.014499254683543256
44,0.014499254680134743
45,0.014499254680134743
46,0.014499254678694848
47,0.014499254677522297
48,0.014499254677240865
49,0.014499254676585978
50,0.014499254676585978
51,0.014499254676585978
52,0.014499254676585069
53,0.01449925467655435
54,0.014499254676549032
55,0.014499254676546888
56,0.014499254676542658
57,0.014499254676537471
58,0.014499254676537471
59,0.014499254676537471
60,0.014499254676536354
61,0.014499254676536354
